1	Oxidoreductases
1.1.1.222	(R)-4-hydroxyphenyllactate dehydrogenase
1.1.1.223	Isopiperitenol dehydrogenase
1.1.1.224	Mannose-6-phosphate 6-reductase
1.1.1.225	Chlordecone reductase
1.1.1.226	4-hydroxycyclohexanecarboxylate dehydrogenase
1.1.1.227	(-)-borneol dehydrogenase
1.1.1.228	(+)-sabinol dehydrogenase
1.1.1.229	Diethyl 2-methyl-3-oxosuccinate reductase
1.1.1.230	3-alpha-hydroxyglycyrrhetinate dehydrogenase
1.1.1.231	15-hydroxyprostaglandin-I dehydrogenase (NADP(+))
1.1.1.232	15-hydroxyicosatetraenoate dehydrogenase
